child,parent,eligible,score,contain,cosine,jaccard,parent_preserved,added_ops,exact_cross_level_duplicate,op_signature_seen_lower,child_text,parent_text
3-1,2-38,False,0.3696,0.6667,0.1373,0.3077,False,excel.read;excel.write;pdf.write,False,False,Convert Excel spreadsheet containing project tasks to task.pdf and email Alice.eml containing pdf file for review,read notification pdf file and send email notification.eml to Alice
3-2,2-19,False,0.3593,0.5,0.2376,0.3077,True,excel.write;pdf.read;word.read,False,False,"Extract data from a PDF financial report, analyze it in report.xlsx, and create a summary in summary.docx",Analyze Excel data of students' grade and generate a teaching report in teaching.docx
3-3,2-38,False,0.3712,0.6667,0.1477,0.2857,False,pdf.write;word.read,False,False,Convert Word document containing employee training manuals to manual.pdf and distribute it to Alice via email Alice.eml,read notification pdf file and send email notification.eml to Alice
3-4,2-35,False,0.2835,0.2857,0.381,0.125,False,excel.read;excel.write;fs.folder;pdf.read;pdf.write,False,False,"Convert Excel spreadsheet containing financial data to report.pdf for archival purposes, and save pdf file under folder financial",what is 2024 total revenue from annual financial report?
3-5,2-36,False,0.3683,0.6,0.195,0.2308,False,excel.read;excel.write;pdf.read;pdf.write,False,False,"Convert PDF invoices to invoices.xlsx, analyze payment trends, and generate a report.docx for financial review",Read grade in transcripts and generate a grade report report.docx
3-6,2-13,False,0.4832,0.5556,0.5316,0.2778,False,email.send,False,False,Schedule a team training as calendar event training.ics for next week and send out emails training.eml to all team members from an excel file,"Schedule a team training session for all participants from excel file, create calendar events for each member in their name"
3-7,2-38,False,0.3522,0.6667,0.1008,0.2667,True,fs.folder;pdf.write,False,False,"Extract admitted applicant's name and email, write Graduate Program Admission Letter with applicant's name in admission.pdf, and send it to applicant's email admission.eml under folder using their last name",read notification pdf file and send email notification.eml to Alice
3-8,2-36,False,0.3919,0.6,0.2765,0.2,True,excel.read;excel.write;reason.filter,False,False,"read company revenues, delete years that revenues are lower than $2000000 and save in new.xlsx, generate reports report.docx",Read grade in transcripts and generate a grade report report.docx
3-9,2-43,False,0.3585,0.25,0.5661,0.1333,False,image.read;image.write,False,False,"read company revenues, describe revenues in a report. I want the report converted into an image named report.jpg",read company revenues and send a email revenues.eml containing all years' revenues to Bob for reporting
3-10,2-41,False,0.2915,0.1429,0.5038,0.0769,False,fs.folder;pdf.read;pdf.write,False,False,"read all emails, create folders for each recipients using their names and save their emails in pdf file using original names into their own folders","read work overtime email, save as recipient's calendar event using their names as file names"
3-11,2-38,False,0.5733,0.6667,0.6486,0.3077,False,fs.folder,False,False,"read notification, send email to people mentioned in post, create folders using their own names for each person and save email notification.eml in it",read notification pdf file and send email notification.eml to Alice
3-12,2-1,True,0.8396,1.0,0.933,0.4615,True,email.read;email.send,False,False,"extract text from power failure notification image, save in power_failure.pdf, send email power_failure.eml to notify workers Bob and Tom",extract text from power failure notification image and save in power_failure.pdf
3-13,2-1,False,0.3692,0.5,0.2443,0.2727,False,fs.folder;reason.summarize,False,False,"summarize content from meeting notification image and save in meeting.pdf, save pdf file in folder named schedule",extract text from power failure notification image and save in power_failure.pdf
3-14,2-12,False,0.3332,0.3333,0.3942,0.1765,False,calendar.read;image.write;pdf.write;reason.summarize,False,False,"summarize content from meeting notification image and save in meeting.pdf, create calendar event Bob.ics and Tom.ics about meeting for Bob and Tom","Scan handwritten notes from a meeting agenda, convert them to text, and add them to a calendar file meeting.ics"
3-15,2-2,False,0.4671,0.4444,0.5896,0.2222,False,email.read;email.send,False,False,"scan resume pdf file, extract name and contact information saved it as contact card in image file named contact.jpg, email contact.eml containing contact information to manager Bob","scan Concert Announcement pdf file, extract name and date saved it as contact card in doc file named contact.docx"
3-16,1-18,False,0.6397,0.8,0.6273,0.4444,False,word.write,False,False,"scan concert post file, save as notification image named notification.jpg, convert image into a concert_activaty.docx file",extract concert post from pdf file and save as image named 'concert_post.jpg'
3-17,2-3,True,0.8037,1.0,0.7635,0.6364,True,email.read,False,False,"read pdf google form file, make an image post welcome.jpg, email corresponding person with welcome image in welcome.eml","read a pdf file google_form.pdf, make an image post welcome.jpg"
3-18,2-2,False,0.4659,0.4444,0.5511,0.25,False,excel.write,False,False,"scan resume pdf file, extract name and contact information saved it as contact card in image file named contact.jpg, save basic information in cotact.xlsx","scan Concert Announcement pdf file, extract name and date saved it as contact card in doc file named contact.docx"
3-19,2-5,True,0.673,0.7778,0.7562,0.3684,True,email.send;reason.check;word.write,False,False,"Check if the submitted fellowship application PDF material satisfies the school policy, write yes or no in result.docx, and email application to officer in application.eml",Does the submitted fellowship application PDF material satisfie the school policy?
